Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Cape Town City Centre,1,1,24 Hans Strijdom Ave,1,9.878169745,70,Rental,33976991
Sea Point,3,2,,1,10.75790288,325,Rental,36815781
Mouille Point,2,2,,4,10.83958091,171,Rental,36048945
Mouille Point,4,4,,2,11.65268741,268,Rental,36811119
Sea Point,1,1,,0,9.677214108,63,Rental,36808114
De Waterkant,2,2,34 Prestwich Street,2,9.735068901,,Rental,36826175
Sea Point,3,2,191 Beach Rd,2,10.81977828,187,Rental,36058833
Sea Point,2,2,,1,10.49127422,117,Rental,34042690
Green Point,2,1,,2,9.998797732,82,Rental,36812905
Sea Point,2,2,"604 Bay Views, 2 Clifford Road",3,10.66895539,70,Rental,36811826
Sea Point,0.5,1,,1,9.825526011,34,Rental,35927451
Cape Town City Centre,1,1,,0,9.132378831,30,Rental,36815041
Camps Bay,1,1,,0,9.61580548,50,Rental,36160090
Camps Bay,3,3.5,,2,11.28978191,404,Rental,36815806
De Waterkant,3,3,151 Waterkant St,0,11.03488966,283,Rental,36737917
Fresnaye,2,2,,2,10.59663473,126,Rental,36822005
Vredehoek,2.5,1,,3,10.46310334,108,Rental,36807329
Green Point,2,2,,2,10.23995979,116,Rental,36804347
Vredehoek,3,2.5,,3,10.30895266,137,Rental,36802351
Vredehoek,2,1.5,,1,9.598998362,73,Rental,36813523
Camps Bay,2,2,,1,10.30895266,90,Rental,36813995
Foreshore,1,1,,1,9.71111566,51,Rental,36779015
Vredehoek,2,2,"11 Ben Avenue, High Cape Two",1,9.998797732,80,Rental,36830491
Tokai,3,2,19 Paddock Lane,3,9.798127037,,Rental,35375348
Rondebosch,1,1,6 Wiersma Road,1,8.809862805,,Rental,34691318
Green Point,2,1,,1,10.04324949,86,Rental,36800882
Claremont Upper,2,2,,2,10.08580911,146,Rental,36803776
Waterfront,2,2,,2,11.28978191,151,Rental,36799889
Sea Point,2,2,"201 Versailles, 219 Main Road",2,10.53209621,82,Rental,36799512
Waterfront,3,3,,2,11.00209984,162,Rental,35356057
Sea Point,2,2,,2,10.1266311,130,Rental,35163640
Diep River,2,1,,1,9.350102314,66,Rental,36803983
Tamboerskloof,3,2,39a Burnside Road,2,10.54534144,363,Rental,35544809
Bantry Bay,2,2,,2,10.46310334,138,Rental,36805990
Foreshore,0.5,1,,1,9.350102314,35,Rental,35826637
Woodstock,3,1,5 Kitchener Street,0,9.738023113,132,Rental,36683524
Plumstead,1,1,,0,8.888756748,45,Rental,36803630
Woodstock,1,1,Wex 1 85 Albert Road,1,9.510444964,42,Rental,30143591
Observatory,2,2,,2,9.903487553,77,Rental,33556502
Cape Town City Centre,1,1,,1,9.61580548,68,Rental,36821923
Mouille Point,2,2,,1,10.30895266,78,Rental,32144671
Pinelands,2,1,"310 Silvermine, 8 Informal Rd",1,9.350102314,54,Rental,35604225
Foreshore,1,1,Harbour Arch Boulevard,1,9.76995616,51,Rental,36198233
Green Point,3,1,,0,9.998797732,100,Rental,36830537
Woodstock,1,1,,1,9.305650552,52,Rental,32094885
Cape Town City Centre,1,1,1 Shortmarket Street,0,9.305650552,43,Rental,36695566
Gardens,2,2.5,,2,10.34174248,169,Rental,33922040
Wynberg Upper,2,1,,1,9.998797732,90,Rental,36797512
Rondebosch,3,2,,3,10.46310334,157,Rental,36824954
Cape Town City Centre,2,2,,1,9.952277717,118,Rental,35290610
Green Point,1,1,,0,9.740968623,55,Rental,36793419
Vredehoek,0.5,1,,1,9.392661929,40,Rental,33738596
