Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Mouille Point,2.0,2.0,,4.0,10.83958091,171.0,Rental,36048945
Mouille Point,4.0,4.0,,2.0,11.65268741,268.0,Rental,36811119
Sea Point,1.0,1.0,,0.0,9.677214108,63.0,Rental,36808114
De Waterkant,2.0,2.0,34 Prestwich Street,2.0,9.735068901,,Rental,36826175
Sea Point,3.0,2.0,191 Beach Rd,2.0,10.81977828,187.0,Rental,36058833
Sea Point,2.0,2.0,,1.0,10.49127422,117.0,Rental,34042690
Green Point,2.0,1.0,,2.0,9.998797732,82.0,Rental,36812905
Sea Point,2.0,2.0,"604 Bay Views, 2 Clifford Road",3.0,10.66895539,70.0,Rental,36811826
Sea Point,0.5,1.0,,1.0,9.825526011,34.0,Rental,35927451
Cape Town City Centre,1.0,1.0,,0.0,9.132378831,30.0,Rental,36815041
Camps Bay,1.0,1.0,,0.0,9.61580548,50.0,Rental,36160090
Camps Bay,3.0,3.5,,2.0,11.28978191,404.0,Rental,36815806
De Waterkant,3.0,3.0,151 Waterkant St,0.0,11.03488966,283.0,Rental,36737917
Fresnaye,2.0,2.0,,2.0,10.59663473,126.0,Rental,36822005
Vredehoek,2.5,1.0,,3.0,10.46310334,108.0,Rental,36807329
Green Point,2.0,2.0,,2.0,10.23995979,116.0,Rental,36804347
Vredehoek,3.0,2.5,,3.0,10.30895266,137.0,Rental,36802351
Vredehoek,2.0,1.5,,1.0,9.598998362,73.0,Rental,36813523
Camps Bay,2.0,2.0,,1.0,10.30895266,90.0,Rental,36813995
Foreshore,1.0,1.0,,1.0,9.71111566,51.0,Rental,36779015
Vredehoek,2.0,2.0,"11 Ben Avenue, High Cape Two",1.0,9.998797732,80.0,Rental,36830491
Tokai,3.0,2.0,19 Paddock Lane,3.0,9.798127037,,Rental,35375348
Rondebosch,1.0,1.0,6 Wiersma Road,1.0,8.809862805,,Rental,34691318
Green Point,2.0,1.0,,1.0,10.04324949,86.0,Rental,36800882
Claremont Upper,2.0,2.0,,2.0,10.08580911,146.0,Rental,36803776
Waterfront,2.0,2.0,,2.0,11.28978191,151.0,Rental,36799889
Sea Point,2.0,2.0,"201 Versailles, 219 Main Road",2.0,10.53209621,82.0,Rental,36799512
Waterfront,3.0,3.0,,2.0,11.00209984,162.0,Rental,35356057
Sea Point,2.0,2.0,,2.0,10.1266311,130.0,Rental,35163640
Diep River,2.0,1.0,,1.0,9.350102314,66.0,Rental,36803983
Tamboerskloof,3.0,2.0,39a Burnside Road,2.0,10.54534144,363.0,Rental,35544809
Bantry Bay,2.0,2.0,,2.0,10.46310334,138.0,Rental,36805990
Foreshore,0.5,1.0,,1.0,9.350102314,35.0,Rental,35826637
Woodstock,3.0,1.0,5 Kitchener Street,0.0,9.738023113,132.0,Rental,36683524
Plumstead,1.0,1.0,,0.0,8.888756748,45.0,Rental,36803630
Woodstock,1.0,1.0,Wex 1 85 Albert Road,1.0,9.510444964,42.0,Rental,30143591
Observatory,2.0,2.0,,2.0,9.903487553,77.0,Rental,33556502
Cape Town City Centre,1.0,1.0,,1.0,9.61580548,68.0,Rental,36821923
Mouille Point,2.0,2.0,,1.0,10.30895266,78.0,Rental,32144671
Pinelands,2.0,1.0,"310 Silvermine, 8 Informal Rd",1.0,9.350102314,54.0,Rental,35604225
Foreshore,1.0,1.0,Harbour Arch Boulevard,1.0,9.76995616,51.0,Rental,36198233
Green Point,3.0,1.0,,0.0,9.998797732,100.0,Rental,36830537
Woodstock,1.0,1.0,,1.0,9.305650552,52.0,Rental,32094885
Cape Town City Centre,1.0,1.0,1 Shortmarket Street,0.0,9.305650552,43.0,Rental,36695566
Gardens,2.0,2.5,,2.0,10.34174248,169.0,Rental,33922040
Wynberg Upper,2.0,1.0,,1.0,9.998797732,90.0,Rental,36797512
Rondebosch,3.0,2.0,,3.0,10.46310334,157.0,Rental,36824954
Cape Town City Centre,2.0,2.0,,1.0,9.952277717,118.0,Rental,35290610
Green Point,1.0,1.0,,0.0,9.740968623,55.0,Rental,36793419
Vredehoek,0.5,1.0,,1.0,9.392661929,40.0,Rental,33738596
Muizenberg,1.0,1.0,,1.0,8.853665428,40.0,Rental,36787710
Green Point,3.0,3.0,87 High Level Rd,3.0,10.71441777,300.0,Rental,30266654
Woodstock,1.0,1.0,,1.0,9.61580548,73.0,Rental,36797461
Oranjezicht,1.0,1.0,,0.0,9.536040512,43.0,Rental,36787162
Green Point,1.0,1.0,,2.0,9.998797732,46.0,Rental,36787010
Oranjezicht,3.0,3.5,,1.5,10.46310334,520.0,Rental,36787489
Cape Town City Centre,1.0,1.0,Adderley Street,1.0,9.37585481,55.0,Rental,33481913
Clifton,3.0,2.5,,2.0,11.46163217,350.0,Rental,36807784
Sea Point,2.0,1.0,16 London Rd,0.0,9.975808214,87.0,Rental,33708202
Mouille Point,1.0,1.0,157 Beach Road,1.0,9.472704636,45.0,Rental,36754662
Foreshore,1.0,1.0,Harbour Arch Boulevard,1.0,9.798127037,51.0,Rental,36796300
Sea Point,2.0,2.0,,1.0,10.22194128,81.0,Rental,36794133
Mouille Point,2.0,2.0,,1.0,10.27505111,102.0,Rental,36793541
Green Point,1.0,1.0,3 Romney Rd,0.0,9.893437217,,Rental,35275143
Mouille Point,3.0,2.0,,1.0,11.00209984,153.0,Rental,35216870
Vredehoek,0.5,1.0,,1.0,9.305650552,42.0,Rental,31682633
Sea Point,3.0,3.5,,2.0,11.35040654,209.0,Rental,34896973
Wynberg Upper,2.0,1.0,,2.0,9.61580548,63.0,Rental,36796873
Sea Point,2.0,2.0,,1.0,10.59663473,110.0,Rental,36786029
Sea Point,2.0,1.0,281/283,1.0,10.02127059,,Rental,36804553
Sea Point,0.5,1.0,,0.0,9.740968623,36.0,Rental,35774968
Bo Kaap,2.0,2.5,35 Rose St,3.0,10.38899537,240.0,Rental,36656931
Kenilworth,2.0,1.0,,1.0,9.680344001,81.0,Rental,36792042
Tamboerskloof,3.0,2.0,,0.0,10.46310334,127.0,Rental,36810361
Camps Bay,2.0,1.0,,1.0,10.16585182,90.0,Rental,32585577
Sea Point,2.0,2.0,,1.0,10.04324949,92.0,Rental,36782764
Green Point,1.0,1.0,,1.0,9.392661929,19.0,Rental,36792091
Pinelands,3.0,1.5,,4.0,9.740968623,,Rental,36829780
Gardens,2.0,1.5,,1.0,9.798127037,90.0,Rental,34427477
Sea Point,3.0,1.0,77 Regent Rd,1.0,10.25765937,150.0,Rental,36315881
Sea Point,2.0,2.0,,1.0,10.22194128,81.0,Rental,36786138
