Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
De Waterkant,2.0,2.0,,2.0,10.08580911,98.0,Rental,27435192
Three Anchor Bay,2.0,2.0,,1.0,11.28978191,98.0,Rental,35315442
Fresnaye,4.0,4.5,,3.0,12.20607265,646.0,Rental,36763133
Clifton,1.0,1.5,51 Victoria Rd,1.0,11.22524339,126.0,Rental,36737285
Llandudno,4.0,2.0,,3.0,11.22524339,991.0,Rental,36326753
Clifton,2.0,2.0,51 Victoria Rd,1.0,10.91508846,126.0,Rental,36735324
Cape Town City Centre,0.5,1.0,6 St Georges Mall,0.0,9.350102314,31.0,Rental,36073677
Green Point,1.0,1.0,,0.0,9.740968623,55.0,Rental,36793419
Mouille Point,3.0,2.0,93 Beach Road,1.0,11.00209984,153.0,Rental,31379643
Diep River,1.0,1.0,,1.0,9.076808979,,Rental,36777391
Mouille Point,2.0,1.0,,2.0,10.37349118,,Rental,36755158
Observatory,3.0,4.0,,0.0,9.798127037,140.0,Rental,36809511
Fresnaye,1.0,1.0,,1.0,9.903487553,50.0,Rental,34985445
Llandudno,3.0,1.0,,6.0,11.60823564,,Rental,36709440
Sea Point,4.0,4.5,,1.0,11.81303006,401.0,Rental,36442152
Oranjezicht,2.0,2.0,,0.0,10.40426284,,Rental,36728186
Sea Point,2.0,1.0,,1.5,10.23995979,105.0,Rental,35133573
Tokai,4.0,4.0,,8.0,11.35040654,,Rental,31616654
Diep River,1.0,1.0,"Musgrave Park, 40 Old Kendall Road",1.0,8.699514748,,Rental,33328857
Cape Town City Centre,3.0,3.0,,2.0,11.00209984,180.0,Rental,36728259
Sea Point,1.0,1.0,,0.0,10.08580911,31.0,Rental,36826011
Constantia,4.0,3.0,,7.0,11.46163217,,Rental,36722355
Constantia,7.0,10.0,,3.0,11.98292909,,Rental,36257262
Gardens,2.0,2.0,,1.0,10.1266311,,Rental,36365159
Rondebosch,0.5,1.0,,0.0,9.024010794,,Rental,36759574
Diep River,2.0,2.0,21 Annandale Road,1.0,9.680344001,,Rental,36825377
Camps Bay,2.0,2.0,,2.0,10.23995979,149.0,Rental,36786084
Gardens,1.0,1.0,5-9 Park Road,1.0,9.740968623,70.0,Rental,36804117
Tokai,4.0,4.0,13 Beech Road,2.0,11.08214255,500.0,Rental,36209390
Camps Bay,2.0,1.0,,1.0,10.16585182,90.0,Rental,32585577
Tamboerskloof,3.0,4.0,,2.0,11.15625052,412.0,Rental,34841769
Newlands,3.0,2.0,,2.0,10.1266311,,Rental,36770344
Vredehoek,3.0,3.0,"Relax 15 On Chelmsford, 15a Chelmsford Road",2.0,10.59663473,200.0,Rental,30332157
Sea Point,2.0,2.0,5 Antwerp Rd,2.0,9.903487553,100.0,Rental,36827429
Sea Point,2.0,1.0,,0.0,10.04324949,,Rental,36795433
Plumstead,2.0,1.0,,1.0,9.354440716,,Rental,36825929
Foreshore,1.0,1.0,"504a Vida D'chette, 21 Martin Hammerschlag Way",0.0,8.955448122,,Rental,35577563
De Waterkant,2.0,1.0,,0.0,10.20359214,,Rental,36777206
Foreshore,1.0,1.0,,1.0,9.61580548,45.0,Rental,35698376
Sea Point,3.0,2.0,,1.0,10.77895629,127.0,Rental,36654833
Kenilworth,2.0,1.0,,2.0,9.392661929,120.0,Rental,33269515
Woodstock,1.0,1.0,,1.0,9.61580548,73.0,Rental,36797461
Woodstock,1.0,1.0,85 Albert Road,0.0,9.798127037,54.0,Rental,32432004
Sea Point,2.0,2.0,,1.0,10.1266311,124.0,Rental,36389425
Rondebosch,4.0,4.0,34 Avenue De Mist,4.0,10.54534144,,Rental,34992733
Mouille Point,2.0,1.0,,0.0,9.903487553,,Rental,36458095
Bo Kaap,2.0,2.5,,1.0,10.77895629,184.0,Rental,35081693
Cape Town City Centre,1.0,1.0,4 Rose Street,0.0,9.581903928,33.0,Rental,36575273
Newlands,3.0,3.5,,2.0,10.46310334,199.0,Rental,36770016
Sea Point,1.0,1.0,The Flamingo 6 Regent Road Sea Point,0.0,9.740968623,,Rental,36742311
Mouille Point,2.0,2.5,,1.0,10.46310334,109.0,Rental,36719454
Camps Bay,4.0,5.0,,4.0,11.60823564,,Rental,35739858
Green Point,2.0,2.0,26 Chepstow Road,1.0,10.46310334,111.0,Rental,35186790
Observatory,1.0,1.0,,1.0,9.433483923,33.0,Rental,36695381
Mouille Point,2.0,1.0,,1.0,10.30895266,78.0,Rental,36801929
Foreshore,2.0,1.0,1 Lower Bree Street,1.0,10.40426284,89.0,Rental,35811652
Wynberg Upper,5.0,3.0,16 Waterloo Road,9.0,10.54534144,650.0,Rental,36667110
Observatory,0.5,1.0,,1.0,9.159047078,35.0,Rental,36786415
Pinelands,1.0,1.0,"Typea Silvermine, 8 Informal Rd",1.0,8.935903526,32.0,Rental,35974719
Cape Town City Centre,1.0,1.0,3 Socrates Way,1.0,9.998797732,53.0,Rental,36800078
Sea Point,2.0,2.0,,1.0,10.91508846,,Rental,36787035
Sea Point,3.0,3.5,,2.0,10.71441777,252.0,Rental,36721868
Kenilworth,1.0,1.0,"35 St Claire, 143 First Avenue",1.0,9.190137665,57.0,Rental,28396257
Rondebosch,4.0,3.0,,3.0,11.28978191,800.0,Rental,36809491
Tamboerskloof,3.0,2.5,,0.0,10.81977828,180.0,Rental,36827396
Kenilworth,2.0,1.0,,0.0,9.305650552,,Rental,36665409
De Waterkant,4.0,4.0,,2.0,10.98529272,265.0,Rental,36804533
Sea Point,1.0,1.0,13 Olivier Road,0.0,9.546812609,88.0,Rental,36599073
Muizenberg,1.0,1.0,,1.0,8.853665428,40.0,Rental,36787710
Wynberg Upper,2.0,1.0,,2.0,9.433483923,85.0,Rental,36822738
Rondebosch,1.0,1.0,,1.0,8.794824928,40.0,Rental,36831432
Camps Bay,3.0,4.0,,2.0,11.54248427,,Rental,36700343
Cape Town City Centre,1.0,1.0,1 Dockrail Road,1.0,9.798127037,64.0,Rental,36748179
Kenilworth,2.0,1.0,,1.0,9.405084449,,Rental,36822702
Wynberg,2.0,1.0,144 Sussex Rd,1.0,9.159047078,60.0,Rental,33301906
Pinelands,5.0,4.0,,13.0,10.73639668,,Rental,36568471
Rondebosch,1.0,1.0,,0.0,9.392661929,,Rental,36777305
Clifton,2.0,2.0,20 Victoria Road,1.0,11.46163217,,Rental,32001916
Claremont Upper,1.0,1.0,25 Protea Road,1.0,9.841612149,60.0,Rental,35073565
Oranjezicht,1.0,1.0,,0.0,9.61580548,55.0,Rental,36738857
Cape Town City Centre,1.0,1.0,"17 Loop Street, Cape Town City Centre, Cape Town, 8000",1.0,10.1266311,,Rental,36655200
Diep River,1.0,1.0,,0.0,8.612503371,,Rental,33824563
Plumstead,3.0,2.0,,6.0,10.18490001,669.0,Rental,36745790
Sea Point,2.0,2.0,"238 Beach Road, Sea Point",0.0,10.30895266,,Rental,36817321
Foreshore,1.0,1.0,Harbour Arch Boulevard,1.0,9.61580548,41.0,Rental,36728669
Oranjezicht,2.0,1.0,,2.0,9.903487553,80.0,Rental,36705664
Bantry Bay,2.0,2.0,,2.0,10.46310334,138.0,Rental,36805990
Sea Point,3.0,3.0,,2.0,11.22524339,128.0,Rental,36820966
